ONT_Id,B_Max_bits,B_alloc_bits
7,1199488.0,13424
8,1199488.0,13184
9,1199488.0,12128
10,1199488.0,13424
11,1199488.0,18480
12,1199488.0,1216
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,1216
0,1199488.0,1216
1,1199488.0,12832
2,1199488.0,11488
3,1199488.0,1568
4,1199488.0,13184
5,1199488.0,5792
6,1199488.0,11488
7,1199488.0,25984
8,1199488.0,13184
9,1199488.0,12480
10,1199488.0,14128
11,1199488.0,19552
12,1199488.0,13776
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,13184
2,1199488.0,40864
3,1199488.0,25984
4,1199488.0,12832
5,1199488.0,5792
6,1199488.0,28656
7,1199488.0,13424
8,1199488.0,12832
9,1199488.0,12480
10,1199488.0,1216
11,1199488.0,19200
12,1199488.0,1216
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,1568
0,1199488.0,1568
1,1199488.0,13184
2,1199488.0,11488
3,1199488.0,1568
4,1199488.0,13184
5,1199488.0,6144
6,1199488.0,11488
7,1199488.0,26336
8,1199488.0,13184
9,1199488.0,12832
10,1199488.0,13776
11,1199488.0,19552
12,1199488.0,13776
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,12832
2,1199488.0,45824
3,1199488.0,26336
4,1199488.0,13184
5,1199488.0,6496
6,1199488.0,33968
7,1199488.0,1216
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,1216
11,1199488.0,18832
12,1199488.0,1568
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,1568
0,1199488.0,1568
1,1199488.0,13184
2,1199488.0,11488
3,1199488.0,1568
4,1199488.0,12832
5,1199488.0,6496
6,1199488.0,23696
7,1199488.0,25984
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,13776
11,1199488.0,19200
12,1199488.0,13776
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,12832
2,1199488.0,41216
3,1199488.0,26336
4,1199488.0,13184
5,1199488.0,6848
6,1199488.0,18384
7,1199488.0,1568
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,1568
11,1199488.0,19552
12,1199488.0,1568
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,1568
0,1199488.0,1568
1,1199488.0,13184
2,1199488.0,11488
3,1199488.0,1568
4,1199488.0,12832
5,1199488.0,6848
6,1199488.0,29008
7,1199488.0,25984
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,13776
11,1199488.0,19200
12,1199488.0,13776
13,1199488.0,12832
14,1199488.0,13184
15,1199488.0,14128
0,1199488.0,14128
1,1199488.0,13184
2,1199488.0,46176
3,1199488.0,26336
4,1199488.0,13184
5,1199488.0,7200
6,1199488.0,11136
7,1199488.0,1568
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,1568
11,1199488.0,18480
12,1199488.0,1568
13,1199488.0,13184
14,1199488.0,12832
15,1199488.0,1568
0,1199488.0,1568
1,1199488.0,12832
2,1199488.0,41216
3,1199488.0,26336
4,1199488.0,13184
5,1199488.0,7552
6,1199488.0,28656
7,1199488.0,25984
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,14128
11,1199488.0,19552
12,1199488.0,14128
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,14128
0,1199488.0,14128
1,1199488.0,13184
2,1199488.0,18032
3,1199488.0,13072
4,1199488.0,12832
5,1199488.0,7552
6,1199488.0,18032
7,1199488.0,13424
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,1216
11,1199488.0,19200
12,1199488.0,1216
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,1216
0,1199488.0,1216
1,1199488.0,13184
2,1199488.0,35904
3,1199488.0,25984
4,1199488.0,13184
5,1199488.0,7904
6,1199488.0,28656
7,1199488.0,26336
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,13776
11,1199488.0,19552
12,1199488.0,13776
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,12832
2,1199488.0,22992
3,1199488.0,13072
4,1199488.0,13184
5,1199488.0,8256
6,1199488.0,11136
7,1199488.0,1216
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,1216
11,1199488.0,18480
12,1199488.0,1216
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,1568
0,1199488.0,1568
1,1199488.0,13184
2,1199488.0,40864
3,1199488.0,25984
4,1199488.0,12832
5,1199488.0,8256
6,1199488.0,23696
7,1199488.0,13776
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,13776
11,1199488.0,19200
12,1199488.0,13776
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,12832
2,1199488.0,18384
3,1199488.0,13424
4,1199488.0,13184
5,1199488.0,8608
6,1199488.0,18384
7,1199488.0,1216
8,1199488.0,12832
9,1199488.0,13184
10,1199488.0,1568
11,1199488.0,19552
12,1199488.0,1568
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,1568
0,1199488.0,1568
1,1199488.0,13184
2,1199488.0,40864
3,1199488.0,25984
4,1199488.0,12832
5,1199488.0,8608
6,1199488.0,28656
7,1199488.0,13776
8,1199488.0,13184
9,1199488.0,12832
10,1199488.0,13776
11,1199488.0,19200
12,1199488.0,13776
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,13776
0,1199488.0,14128
1,1199488.0,13184
2,1199488.0,11136
3,1199488.0,13424
4,1199488.0,13184
5,1199488.0,8960
6,1199488.0,11136
7,1199488.0,1568
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,1568
11,1199488.0,18832
12,1199488.0,1568
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,12832
2,1199488.0,36256
3,1199488.0,26336
4,1199488.0,13184
5,1199488.0,9312
6,1199488.0,24048
7,1199488.0,13776
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,13776
11,1199488.0,19200
12,1199488.0,14128
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13424
0,1199488.0,13424
1,1199488.0,13184
2,1199488.0,6176
3,1199488.0,1216
4,1199488.0,12832
5,1199488.0,9312
6,1199488.0,11136
7,1199488.0,1568
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,1568
11,1199488.0,19200
12,1199488.0,1568
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,12832
2,1199488.0,40864
3,1199488.0,25984
4,1199488.0,13184
5,1199488.0,9664
6,1199488.0,28656
7,1199488.0,13776
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,14128
11,1199488.0,18832
12,1199488.0,14128
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13424
0,1199488.0,13424
1,1199488.0,13184
2,1199488.0,11136
