ONT_Id,B_Max_bits,B_alloc_bits
6,1199488.0,11488
7,1199488.0,1568
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,4032
11,1199488.0,19552
12,1199488.0,1568
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,1568
0,1199488.0,1568
1,1199488.0,12832
2,1199488.0,40864
3,1199488.0,25984
4,1199488.0,13184
5,1199488.0,13184
6,1199488.0,28656
7,1199488.0,13776
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,4032
11,1199488.0,19552
12,1199488.0,14128
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,14128
0,1199488.0,14128
1,1199488.0,13184
2,1199488.0,6528
3,1199488.0,1568
4,1199488.0,13184
5,1199488.0,13184
6,1199488.0,11488
7,1199488.0,1568
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,4384
11,1199488.0,18480
12,1199488.0,1568
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,13776
0,1199488.0,13776
1,1199488.0,12832
2,1199488.0,40864
3,1199488.0,25984
4,1199488.0,12832
5,1199488.0,12832
6,1199488.0,28656
7,1199488.0,14128
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,4736
11,1199488.0,19552
12,1199488.0,14128
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,13424
0,1199488.0,13424
1,1199488.0,13184
2,1199488.0,11488
3,1199488.0,1568
4,1199488.0,13184
5,1199488.0,13184
6,1199488.0,11488
7,1199488.0,1568
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,4736
11,1199488.0,19200
12,1199488.0,1568
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,1920
0,1199488.0,14128
1,1199488.0,13184
2,1199488.0,40864
3,1199488.0,25984
4,1199488.0,12832
5,1199488.0,13184
6,1199488.0,29008
7,1199488.0,14128
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,5088
11,1199488.0,19200
12,1199488.0,14128
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,1920
0,1199488.0,1216
1,1199488.0,12832
2,1199488.0,11488
3,1199488.0,1568
4,1199488.0,13184
5,1199488.0,12832
6,1199488.0,11488
7,1199488.0,1568
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,5088
11,1199488.0,18832
12,1199488.0,14128
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,2272
0,1199488.0,13776
1,1199488.0,13184
2,1199488.0,41216
3,1199488.0,14128
4,1199488.0,13184
5,1199488.0,13184
6,1199488.0,29008
7,1199488.0,14128
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,5440
11,1199488.0,19200
12,1199488.0,13072
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,2272
0,1199488.0,13072
1,1199488.0,12832
2,1199488.0,11136
3,1199488.0,1216
4,1199488.0,12832
5,1199488.0,12832
6,1199488.0,11136
7,1199488.0,1568
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,5792
11,1199488.0,19552
12,1199488.0,13776
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,2624
0,1199488.0,1568
1,1199488.0,13184
2,1199488.0,36256
3,1199488.0,13776
4,1199488.0,13184
5,1199488.0,13184
6,1199488.0,24048
7,1199488.0,13776
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,5792
11,1199488.0,19200
12,1199488.0,13072
13,1199488.0,12832
14,1199488.0,13184
15,1199488.0,2976
0,1199488.0,1920
1,1199488.0,13184
2,1199488.0,16096
3,1199488.0,1568
4,1199488.0,13184
5,1199488.0,13184
6,1199488.0,16448
7,1199488.0,1568
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,6144
11,1199488.0,18480
12,1199488.0,13776
13,1199488.0,13184
14,1199488.0,12832
15,1199488.0,2976
0,1199488.0,1920
1,1199488.0,12832
2,1199488.0,41216
3,1199488.0,13776
4,1199488.0,12832
5,1199488.0,12832
6,1199488.0,29008
7,1199488.0,13776
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,6496
11,1199488.0,19552
12,1199488.0,13424
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,3328
0,1199488.0,2272
1,1199488.0,13184
2,1199488.0,11488
3,1199488.0,1568
4,1199488.0,13184
5,1199488.0,13184
6,1199488.0,11488
7,1199488.0,13776
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,6496
11,1199488.0,19200
12,1199488.0,13776
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,3328
0,1199488.0,2272
1,1199488.0,12832
2,1199488.0,40864
3,1199488.0,13776
4,1199488.0,12832
5,1199488.0,12832
6,1199488.0,33616
7,1199488.0,13424
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,6848
11,1199488.0,18832
12,1199488.0,13424
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,3680
0,1199488.0,2624
1,1199488.0,13184
2,1199488.0,16448
3,1199488.0,1568
4,1199488.0,13184
5,1199488.0,13184
6,1199488.0,28656
7,1199488.0,13776
8,1199488.0,12832
9,1199488.0,12832
10,1199488.0,6848
11,1199488.0,19200
12,1199488.0,13776
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,4032
0,1199488.0,2976
1,1199488.0,13184
2,1199488.0,41568
3,1199488.0,14128
4,1199488.0,13184
5,1199488.0,13184
6,1199488.0,18384
7,1199488.0,13424
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,7200
11,1199488.0,19200
12,1199488.0,13424
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,4032
0,1199488.0,2976
1,1199488.0,12832
2,1199488.0,11488
3,1199488.0,13776
4,1199488.0,12832
5,1199488.0,12832
6,1199488.0,23696
7,1199488.0,13776
8,1199488.0,12832
9,1199488.0,13184
10,1199488.0,7552
11,1199488.0,19552
12,1199488.0,14128
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,4384
0,1199488.0,3328
1,1199488.0,13184
2,1199488.0,46176
3,1199488.0,13424
4,1199488.0,13184
5,1199488.0,13184
6,1199488.0,23344
7,1199488.0,13424
8,1199488.0,13184
9,1199488.0,12832
10,1199488.0,7552
11,1199488.0,18480
12,1199488.0,1216
13,1199488.0,12832
14,1199488.0,12832
15,1199488.0,4384
0,1199488.0,3328
1,1199488.0,13184
2,1199488.0,40864
3,1199488.0,13776
4,1199488.0,12832
5,1199488.0,13184
6,1199488.0,29008
7,1199488.0,14128
8,1199488.0,13184
9,1199488.0,13184
10,1199488.0,7904
11,1199488.0,19552
12,1199488.0,13776
13,1199488.0,13184
14,1199488.0,13184
15,1199488.0,4736
0,1199488.0,3680
1,1199488.0,12832
